datetime	total_score	low_score_count	result	description	commit_hash
2026-04-26T20:29:31.651177	102.5	6	keep	Added two bullet sub-points under item 5 (Thoughts/Feelings/Intentions/Suspicions) and two bullet sub-points under item 6 (Plans and Decisions) with concrete examples of incorrect merging behavior and explicit instructions to separate thought/decision entries from action entries.	168cc8d14930f9f18e3c0c2344104c728ebf12bd
2026-04-26T20:40:11.877930	93.375	7	discard	Expanded the 'If the transcript is uncertain' bullet in the Live Session Log section into a full 'Preserve uncertainty explicitly' sub-section with four concrete examples: ambiguous success (use 'appeared to'), unclear speaker identity (use description without asserting identity), perception vs reality ('believed' vs stated fact), and partial outcomes ('may have escaped' vs 'escaped').	NO_COMMIT
2026-04-26T20:50:53.442121	99.25	6	discard	Added one bullet to the Critical Requirements section: 'Do not over-resolve uncertainty: when the transcript is unclear about a speaker's identity, whether an outcome succeeded, or whether a perception reflects reality, write the entry with the same level of certainty (or uncertainty) the transcript carries — use hedged wording like appeared to, seemed to, believed, or reportedly rather than asserting a definite fact.'	NO_COMMIT
2026-04-26T21:01:40.337717	95.125	7	discard	Added one bullet to the Recaps section: 'Do not collapse multiple recap facts into a single entry. Each separate event, discovery, decision, clue, relationship, and prior development should be its own entry. If a character found a clue AND decided to pursue a lead, those are two entries, not one.'	NO_COMMIT
2026-04-26T21:13:32.585488	99.5	5	discard	Rewrote the Repeated Non-Information rule in What to Remove from 'Collapse pure repetition that adds no new fictional information' to 'Collapse only exact or near-exact repetition — where the same in-game fact is restated word-for-word or in trivially equivalent phrasing with no new information added. Do not collapse two related but distinct beats just because they concern the same topic.'	NO_COMMIT
2026-04-26T21:24:12.010446	100.125	5	discard	Added one bullet to the Live Session Log section: 'Do not skip small, incremental, or transitional in-game events. A character moving to a location, a door being found locked, an NPC brief in-character statement, or a minor environmental detail are all required entries if the transcript states them. Include them even if they seem unimportant.'	NO_COMMIT
2026-04-26T21:35:12.627299	95.75	6	discard	Added a sub-bullet under item 3 (Perceptions and Observations) in What to Capture: 'Separate observation entries from action entries: Do not merge an observation with the action that follows it. Kira noticed the door was ajar, then slipped through should produce two entries: one for noticing the door, one for slipping through.'	NO_COMMIT
2026-04-26T21:45:59.416733	96.5	7	discard	Added one bullet to the Live Session Log section specifically about Indeterminate_Speaker attribution: 'When the transcript labels a speaker as Indeterminate_Speaker or otherwise fails to identify who is speaking, do not guess or infer the speaker's identity — write the entry using a description like an unidentified voice or someone in the group rather than assigning the statement to a specific character. Only attribute a statement to a named character if the transcript itself identifies them as the speaker.'	NO_COMMIT
2026-04-26T21:56:53.487362	93.75	7	discard	Added one sentence to the schema preamble: 'Each entry in both arrays must be a single complete sentence. Each distinct in-game beat — including individual actions, events, observations, speeches, stated thoughts, stated decisions, and consequences — must be its own entry.'	NO_COMMIT
2026-04-26T22:07:48.724010	98.375	6	discard	Added one sub-bullet under item 1 (Actions) in What to Capture: 'Do not chain multiple actions into one entry: If a character moved to a location AND then picked up an object, those are two entries, not one. Write one entry per distinct action.'	NO_COMMIT
2026-04-26T22:29:07.735090	95.875	5	discard	Added a sentence to item 3 (Perceptions and Observations) in What to Capture: 'Write perceptions as perceptions, not as confirmed facts: if a character sees or hears something, that character perceived it — do not upgrade a perception into a confirmed world-fact unless the transcript confirms it independently.'	NO_COMMIT
2026-04-26T22:46:43.349876	94.375	7	discard	Added one bullet to the Recaps section: Preserve uncertainty in recap entries: if the recap describes what characters believed, suspected, or concluded rather than confirmed facts, use wording such as had believed, had suspected, or had concluded — do not restate a character belief as a confirmed world-fact.	NO_COMMIT
2026-04-26T22:54:03.283556	96.0	7	discard	Added a sentence to item 3 (Perceptions and Observations): 'When a character reads or reviews a document, message, or record, capture the specific content found — the names, claims, relationships, dates, or warnings discovered — not only the act of reading or the general subject.'	NO_COMMIT
2026-04-27T07:58:30.394487	96.875	8	discard	Replaced the existing uncertainty-preservation bullet in the Live Session Log section. Old: 'If the transcript is uncertain, preserve that uncertainty with wording such as appeared to, seemed to, or the group believed, but only when the transcript itself is uncertain.' New: 'Preserve uncertainty from the transcript: when a speaker is unidentified, an outcome is ambiguous, or a perception may not reflect confirmed fact, use hedged wording such as appeared to, seemed to, believed, or an unidentified voice said — do not resolve ambiguity the transcript leaves open.' The change is a rewording of the same sentence, not an addition.	NO_COMMIT
2026-04-27T08:07:47.499401	100.25	7	discard	Replaced 'Prefer many precise entries over fewer broad entries. A too-short log is a failure.' with 'When in doubt, include the entry. A missed in-game beat cannot be recovered; an extra entry does little harm. Err toward inclusion, not compression. A too-short log is a failure.' in the Critical Requirements section. This adds an explicit inclusion tiebreaker to guide the model when deciding whether a beat is worth its own entry.	NO_COMMIT
2026-04-27T08:20:14.481928	98.625	5	discard	Replaced the schema example JSON at the bottom of the prompt. Expanded recap_log from 2 to 4 example entries (action, event/discovery, decision, consequence/ongoing risk). Expanded session_log from 3 to 6 example entries, each showing a distinct content type as its own entry: action, observation, speech, thought, decision, consequence. Removed the combined 'said, discovered, noticed, believed, decided, or experienced' template entry that might have anchored the model toward merging types.	NO_COMMIT
2026-04-27T08:31:42.212623	96.25	6	discard	Replaced the Repeated Non-Information rule in What to Remove. Old: 'Collapse pure repetition that adds no new fictional information. If repeated questioning produces a new in-game fact, capture the new fact.' New: 'Collapse only verbatim or near-verbatim repetition with zero new information. If any new fact, name, outcome, or nuance is added, capture both versions as separate entries.' This makes the collapse threshold much higher, requiring truly identical repetition before collapsing.	NO_COMMIT
2026-04-27T08:43:55.854003	97.125	6	discard	Added a third sub-bullet to item 5 (Thoughts, Feelings, Intentions, and Suspicions) with bold header 'Write inferences as inferences.' The sub-bullet instructs: when a character concludes/suspects/believes something not independently confirmed by transcript, use belief language (believed, suspected, concluded, theorized) rather than stating as confirmed fact. Provides concrete example: 'We think that's Danielle' should produce 'The group believed the figure was Danielle,' not 'The group recognized Danielle.' Also instructs to preserve conditional caveats when theories include them.	NO_COMMIT
2026-04-27T08:56:56.741180	96.625	8	discard	Replaced the uncertainty sentence in the Live Session Log section. Old: 'If the transcript is uncertain, preserve that uncertainty with wording such as appeared to, seemed to, or the group believed, but only when the transcript itself is uncertain.' New: 'Preserve the transcript's level of certainty: use wording such as appeared to, seemed to, or believed when the transcript expresses something as an inference, belief, or possibility — and use direct narration when the transcript states it as confirmed fact or direct action.' This clarifies the trigger: use hedged wording for inferences/beliefs/possibilities, not just when the transcript contains explicit uncertainty markers.	NO_COMMIT
2026-04-27T09:11:03.281112	100.75	6	discard	Added one bullet at the end of the Recaps section: 'When uncertain whether a recap detail is significant enough to include, include it. Each missed recap beat is a permanent gap in the record.' This gives the model an explicit inclusion tiebreaker for recap entries only, without applying the same rule to session_log where it previously caused comp_01 to drop.	NO_COMMIT
